t,V,I
81123.37983,3.022321469,-0.01
81183.37983,3.022568477,-0.01
81243.37983,3.022815242,-0.01
81303.37983,3.023061764,-0.01
81363.37983,3.023308042,-0.01
81423.37983,3.023554078,-0.01
81483.37983,3.023799872,-0.01
81543.37983,3.024045424,-0.01
81603.37983,3.024290733,-0.01
81663.37983,3.024535802,-0.01
81723.37983,3.024780629,-0.01
81783.37983,3.025025215,-0.01
81843.37983,3.025269561,-0.01
81903.37983,3.025513667,-0.01
81963.37983,3.025757532,-0.01
82023.37983,3.026001158,-0.01
82083.37983,3.026244545,-0.01
82143.37983,3.026487692,-0.01
82203.37983,3.026730601,-0.01
82263.37983,3.026973271,-0.01
82323.37983,3.027215703,-0.01
82383.37983,3.027457897,-0.01
82443.37983,3.027699854,-0.01
82503.37983,3.027941573,-0.01
82563.37983,3.028183055,-0.01
82623.37983,3.028424301,-0.01
82683.37983,3.02866531,-0.01
82743.37983,3.028906083,-0.01
82803.37983,3.029146621,-0.01
82863.37983,3.029386922,-0.01
82923.37983,3.029626989,-0.01
82983.37983,3.02986682,-0.01
83043.37983,3.030106417,-0.01
83103.37983,3.03034578,-0.01
83163.37983,3.030584908,-0.01
83223.37983,3.030823803,-0.01
83283.37983,3.031062464,-0.01
83343.37983,3.031300892,-0.01
83403.37983,3.031539087,-0.01
83463.37983,3.03177705,-0.01
83523.37983,3.03201478,-0.01
83583.37983,3.032252278,-0.01
83643.37983,3.032489545,-0.01
83703.37983,3.03272658,-0.01
83763.37983,3.032963383,-0.01
83823.37983,3.033199956,-0.01
83883.37983,3.033436299,-0.01
83943.37983,3.033672411,-0.01
84003.37983,3.033908293,-0.01
84063.37983,3.034143945,-0.01
84123.37983,3.034379368,-0.01
84183.37983,3.034614562,-0.01
84243.37983,3.034849527,-0.01
84303.37983,3.035084263,-0.01
84363.37983,3.035318771,-0.01
84423.37983,3.035553051,-0.01
84483.37983,3.035787104,-0.01
84543.37983,3.036020929,-0.01
84603.37983,3.036254526,-0.01
84663.37983,3.036487897,-0.01
84723.37983,3.036721042,-0.01
84783.37983,3.03695396,-0.01
84843.37983,3.037186652,-0.01
84903.37983,3.037419118,-0.01
84963.37983,3.037651359,-0.01
85023.37983,3.037883375,-0.01
85083.37983,3.038115166,-0.01
85143.37983,3.038346732,-0.01
